"NEW_BP"|"DEPARTAMENTO"|"MUNICIPIO"|"CIUDAD"|"BARRIO_CASERIO"
"1572051307"|"LA PAZ"|"MARCALA"|"MARCALA"|"BARRIO LA TEJERA"
"1572669651"|"CORTES"|"VILLANUEVA"|"CAMPO DOS CAMINOS"|"REAL DEL PUENTE"
"1571580846"|"ATLANTIDA"|"EL PORVENIR"|"EL PINO"|"BARRIO LA CONSTANCIA"
"1578640997"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA BORDO SANTA MARTHA"
"1571990683"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA ARTURO QUESADA"
"1571990709"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"BARRIO CABANAS"
"1580090844"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LARA"
"1571539829"|"ISLAS DE LA BAHIA"|"ROATAN"|"ROATAN"|"COLONIA BRAZIL"
"1579804261"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA LOS CASTANOS"
"1581062310"|"CORTES"|"SAN PEDRO SULA"|"COFRADIA"|"COLONIA ALTOS DE COFRADIA"
"1581333762"|"OLANCHO"|"JUTICALPA"|"JUTICALPA"|"COLONIA LAS MARGARITAS"
"1572050732"|"LA PAZ"|"CANE"|"CANE"|"BARRIO SAN FRANCISCO"
"1571990953"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO EL PEDREGALITO"
"1580863668"|"OLANCHO"|"JUTICALPA"|"JUTICALPA"|"BARRIO BELEN"
"1580083585"|"CORTES"|"LA LIMA"|"LA LIMA"|"COLONIA BUENOS AIRES"
"1572442737"|"YORO"|"EL PROGRESO"|"LA GUACAMAYA"|"COOPERATIVA SAN MIGUEL NO.3 O L"
"1571585685"|"COPAN"|"SANTA ROSA DE COPAN"|"SANTA ROSA DE COPAN"|"BARRIO DOLORES O EL SALTO"
"1580083486"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"SANTA ROSA"|"ALTOS DE STA. ROSA"
"1571580669"|"COMAYAGUA"|"SIGUATEPEQUE"|"SIGUATEPEQUE"|"COLONIA LAS AMERICAS"
"1580083439"|"CORTES"|"SAN FRANCISCO DE YOJOA"|"RIO LINDO"|"BARRIO EL CENTRO"
"1580114533"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA EL CARRIZAL NO. 2"
"1572786639"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA ALTOS DEL ALTIPLANO"
"1571988970"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA COVIMAL BL B CASA7"
"1579295696"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO LEMPIRA"
"1579769975"|"CORTES"|"VILLANUEVA"|"VILLANUEVA"|"BARRIO SAN RAMON"
"1572547105"|"CORTES"|"LA LIMA"|"LA LIMA"|"COLONIA SITRATERCO"
"1578768966"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA SATELITE I ETAPA"
"1571575088"|"COMAYAGUA"|"SIGUATEPEQUE"|"SIGUATEPEQUE"|"BARRIO ARRIBA"
"1571535839"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"BARRIO INDEPENDENCIA"
"1571665098"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA AURORA NO.1"
"1577602047"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LA PRADERA"
"1571989130"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO GUADALUPE"
"1579295754"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA NARANJAL"
"1572557689"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"RESIDENCIAL VILLA DEL SOL"
"1577763663"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA RAFAEL LEONARDO CALLEJAS"
"1579336439"|"CORTES"|"CHOLOMA"|"CHOLOMA"|"RESIDENCIAL BRISAS DE CANDELARIA"
"1571584731"|"COPAN"|"SANTA ROSA DE COPAN"|"SANTA ROSA DE COPAN"|"BARRIO EL CALVARIO"
"1580967806"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"AMARATECA"|"AMARATECA O LA JAGUA"
"1578630653"|"CORTES"|"SAN MANUEL"|"EL PORVENIR"|"BARRIO EL PORVENIR"
"1573095013"|"LA PAZ"|"MARCALA"|"MARCALA"|"BARRIO LA VICTORIA"
"1572549517"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA JACINTO MEZA O LA AMISTAD"
"1572548306"|"CORTES"|"PUERTO CORTES"|"PUERTO CORTES"|"BARRIO RIO MAR"
"1578442018"|"CORTES"|"LA LIMA"|"LA LIMA"|"COLONIA SITRATERCO"
"1572559681"|"CORTES"|"VILLANUEVA"|"CAMPO DOS CAMINOS"|"REAL DEL PUENTE"
"1573034309"|"SANTA BARBARA"|"SANTA BARBARA"|"SANTA BARBARA"|"COLONIA SUYAPA"
"1571974285"|"EL PARAISO"|"DANLI"|"DANLI"|"BARRIO ABAJO"
"1580112088"|"CORTES"|"LA LIMA"|"LA LIMA"|"CAMPO SAN JUAN"
"1579765093"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA FLORENCIA NORTE"
"1572183531"|"COLON"|"SONAGUERA"|"SABANA DE UTILA"|"SABANA DE UTILA"
"1578639908"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA RENACER"
"1577614981"|"COMAYAGUA"|"COMAYAGUA"|"NUEVA VALLADOLID DE CAPIRO"|"NUEVA VALLADOLID DE CAPIRO"
"1581333259"|"VALLE"|"SAN LORENZO"|"SAN LORENZO"|"BARRIO MONGOLLANO"
"1578855970"|"FRANCISCO MORAZAN"|"SABANAGRANDE"|"SABANAGRANDE"|"BARRIO EL CENTRO"
"1572061563"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"BARRIO CABANITAS"
"1572628909"|"FRANCISCO MORAZAN"|"VALLE DE ANGELES"|"VALLE DE ANGELES"|"LAS CANADAS"
"1571980358"|"EL PARAISO"|"EL PARAISO"|"LOS TERRONES"|"RESIDENCIAL SAN ISIDRO"
"1572935485"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"ALDEA SUYAPA"
"1579996932"|"FRANCISCO MORAZAN"|"SANTA ANA"|"LA BODEGA"|"RESIDENCIAL EL MANANTIAL"
"1580965367"|"CHOLUTECA"|"CHOLUTECA"|"CHOLUTECA"|"COLONIA VENECIA"
"1579083104"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"BARRIO BUENOS AIRES"
"1572961956"|"OLANCHO"|"JUTICALPA"|"JUTICALPA"|"BARRIO EL CAMPO"
"1578865813"|"CORTES"|"SAN MANUEL"|"SAN MANUEL"|"COLONIA EL CALAN"
"1580309761"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO PERPETUO SOCORRO"
"1580307258"|"OCOTEPEQUE"|"LA ENCARNACION"|"LA ENCARNACION"|"BARRIO LA ENCARNACION"
"1582316125"|"CORTES"|"CHOLOMA"|"CHOLOMA"|"COLONIA LA VICTORIA"
"1572272916"|"CORTES"|"SAN FRANCISCO DE YOJOA"|"RIO LINDO"|"COLONIA AURORA"
